,Year,Average Total Employment,county,state
5603,2015,1357.833333,Cheyenne County,KS
5604,2010,993.8333333,Comanche County,KS
5605,2011,979.75,Comanche County,KS
5606,2012,998.8333333,Comanche County,KS
5607,2013,1033.333333,Comanche County,KS
5608,2014,978.1666667,Comanche County,KS
5609,2015,991.3333333,Comanche County,KS
5610,2010,19355.5,Crawford County,KS
5611,2011,19169.33333,Crawford County,KS
5612,2012,19283.91667,Crawford County,KS
5613,2013,19281.25,Crawford County,KS
5614,2014,19131.66667,Crawford County,KS
5615,2015,18927.33333,Crawford County,KS
5616,2010,4539.25,Doniphan County,KS
5617,2011,4452.583333,Doniphan County,KS
5618,2012,4392.666667,Doniphan County,KS
5619,2013,4336.833333,Doniphan County,KS
5620,2014,4293.916667,Doniphan County,KS
5621,2015,4318.916667,Doniphan County,KS
5622,2010,14362.58333,Franklin County,KS
5623,2011,13989,Franklin County,KS
5624,2012,13976.66667,Franklin County,KS
5625,2013,13965.91667,Franklin County,KS
5626,2014,14048.58333,Franklin County,KS
5627,2015,14101.41667,Franklin County,KS
5628,2010,1824.166667,Hamilton County,KS
5629,2011,1746.333333,Hamilton County,KS
5630,2012,1825,Hamilton County,KS
5631,2013,1714.5,Hamilton County,KS
5632,2014,1661.666667,Hamilton County,KS
5633,2015,1652.25,Hamilton County,KS
5634,2010,1084.75,Hodgeman County,KS
5635,2011,1108.916667,Hodgeman County,KS
5636,2012,1110.416667,Hodgeman County,KS
5637,2013,1115.333333,Hodgeman County,KS
5638,2014,1034.25,Hodgeman County,KS
5639,2015,1027.166667,Hodgeman County,KS
5640,2010,5907.916667,Marshall County,KS
5641,2011,5992,Marshall County,KS
5642,2012,6083.333333,Marshall County,KS
5643,2013,6041.916667,Marshall County,KS
5644,2014,5876.166667,Marshall County,KS
5645,2015,5735,Marshall County,KS
5646,2010,3873.666667,Mitchell County,KS
5647,2011,3892.416667,Mitchell County,KS
5648,2012,3868.333333,Mitchell County,KS
5649,2013,3876.25,Mitchell County,KS
5650,2014,3833.833333,Mitchell County,KS
5651,2015,3775.583333,Mitchell County,KS
5652,2010,3036.5,Phillips County,KS
5653,2011,3019.333333,Phillips County,KS
5654,2012,3011.666667,Phillips County,KS
5655,2013,2964,Phillips County,KS
5656,2014,2906.916667,Phillips County,KS
5657,2015,2953.916667,Phillips County,KS
5658,2010,2732.166667,Republic County,KS
5659,2011,2682.916667,Republic County,KS
5660,2012,2611.166667,Republic County,KS
5661,2013,2648.916667,Republic County,KS
5662,2014,2567.333333,Republic County,KS
5663,2015,2590.25,Republic County,KS
5664,2010,252712.8333,Sedgwick County,KS
5665,2011,249217,Sedgwick County,KS
5666,2012,246742.25,Sedgwick County,KS
5667,2013,246243,Sedgwick County,KS
5668,2014,246940.1667,Sedgwick County,KS
5669,2015,246783.1667,Sedgwick County,KS
5670,2010,1513.666667,Sheridan County,KS
5671,2011,1525.75,Sheridan County,KS
5672,2012,1545.833333,Sheridan County,KS
5673,2013,1497.916667,Sheridan County,KS
5674,2014,1458,Sheridan County,KS
5675,2015,1482.166667,Sheridan County,KS
5676,2010,2365.666667,Stafford County,KS
5677,2011,2317,Stafford County,KS
5678,2012,2217.666667,Stafford County,KS
5679,2013,2216.25,Stafford County,KS
5680,2014,2162.333333,Stafford County,KS
5681,2015,2182.666667,Stafford County,KS
5682,2010,10233.25,Dickinson County,KS
5683,2011,10109.16667,Dickinson County,KS
5684,2012,10059.91667,Dickinson County,KS
5685,2013,9858.5,Dickinson County,KS
5686,2014,9719.333333,Dickinson County,KS
5687,2015,9520.083333,Dickinson County,KS
5688,2010,3395.083333,Ellsworth County,KS
5689,2011,3490.583333,Ellsworth County,KS
5690,2012,3486.5,Ellsworth County,KS
5691,2013,3446.75,Ellsworth County,KS
